设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,m.qzone.com,121.51.179.204,腾讯,0,2.599K,2.599K,0G,2.599e-06G,2.599e-06G
,preventindulge.yhres.cn:7001,123.207.195.182,腾讯,0,2.599K,2.599K,0G,2.599e-06G,2.599e-06G
,1251158332.cdn.myqcloud.com,182.254.53.68,腾讯,0,2.598K,2.598K,0G,2.598e-06G,2.598e-06G
,igp.inv.org.cn,129.211.152.81,美国,0,2.592K,2.592K,0G,2.592e-06G,2.592e-06G
,140.143.183.118,140.143.183.118,河南省郑州市景安计算机网络,0,2.59K,2.59K,0G,2.5899999999999998e-06G,2.5899999999999998e-06G
,m.meetyoubest.com,49.233.83.47,北京市教育信息网,0,2.581K,2.581K,0G,2.581e-06G,2.581e-06G
,n-txc-relay-ipc.tplinkcloud.com.cn:443,49.234.245.223,北京市教育信息网,0,2.58K,2.58K,0G,2.5800000000000003e-06G,2.5800000000000003e-06G
,soft.udashi.com,121.51.224.59,腾讯,0,2.574K,2.574K,0G,2.574e-06G,2.574e-06G
,minipage.ppsrk.com,182.254.53.92,腾讯,0,2.562K,2.562K,0G,2.562e-06G,2.562e-06G
,dd.lzhdaheng.xyz,118.25.66.74,香港,0,2.548K,2.548K,0G,2.548e-06G,2.548e-06G
,byfsm.com,182.254.52.213,腾讯,0,2.546K,2.546K,0G,2.546e-06G,2.546e-06G
,world2.wanmei.com,45.116.209.89,其他国家,1.925K,617,2.542K,1.925e-06G,6.170000000000001e-07G,2.542e-06G
,115.159.102.173,115.159.102.173,腾讯,0,2.541K,2.541K,0G,2.541e-06G,2.541e-06G
,activity.gtimg.cn,182.254.52.230,腾讯,500,2.04K,2.54K,5e-07G,2.04e-06G,2.5400000000000002e-06G
,45.116.208.48,62.234.218.151,其他国家,1.166K,1.374K,2.54K,1.166e-06G,1.374e-06G,2.5400000000000002e-06G
,thirdqq1.qlogo.cn,121.51.117.109,腾讯,0,2.538K,2.538K,0G,2.538e-06G,2.538e-06G
,192.168.1.1,122.51.63.190,中国,0,2.536K,2.536K,0G,2.536e-06G,2.536e-06G
,k7ejkqninua.elbpzzz.cn,122.51.63.219,中国,0,2.533K,2.533K,0G,2.533e-06G,2.533e-06G
,bs.goyihu.com,111.230.209.98,湖北省,469,2.056K,2.525K,4.69e-07G,2.0560000000000003e-06G,2.525e-06G
,121.51.32.152,121.51.32.152,腾讯,0,2.522K,2.522K,0G,2.5219999999999997e-06G,2.5219999999999997e-06G
,ta.yunjiglobal.c,211.159.244.160,腾讯,0,2.517K,2.517K,0G,2.5169999999999998e-06G,2.5169999999999998e-06G
,103.57.13.8,211.159.235.117,腾讯,0,2.516K,2.516K,0G,2.516e-06G,2.516e-06G
,103.57.13.13,211.159.235.73,腾讯,0,2.516K,2.516K,0G,2.516e-06G,2.516e-06G
,103.57.13.50,211.159.235.178,腾讯,0,2.516K,2.516K,0G,2.516e-06G,2.516e-06G
,193.112.211.204:8080,193.112.211.204,其他国家,0,2.511K,2.511K,0G,2.511e-06G,2.511e-06G
,4399sy.com,134.175.153.164,其他国家,0,2.509K,2.509K,0G,2.509e-06G,2.509e-06G
,49.234.240.203,49.234.240.203,北京市教育信息网,0,2.506K,2.506K,0G,2.506e-06G,2.506e-06G
,140.143.51.218,140.143.51.218,河南省郑州市景安计算机网络,0,2.49K,2.49K,0G,2.49e-06G,2.49e-06G
,cfm.qq.com,182.254.52.102,腾讯,0,2.487K,2.487K,0G,2.487e-06G,2.487e-06G
,img30.ddimg.cn,121.51.224.25,腾讯,0,2.482K,2.482K,0G,2.482e-06G,2.482e-06G
,49.234.161.173,49.234.161.173,北京市教育信息网,0,2.477K,2.477K,0G,2.477e-06G,2.477e-06G
,mobile1.zhushou.sogou.com,109.244.23.87,其他国家,0,2.474K,2.474K,0G,2.474e-06G,2.474e-06G
,121.51.44.102,121.51.44.102,腾讯,0,2.47K,2.47K,0G,2.4700000000000005e-06G,2.4700000000000005e-06G
,a1.app.qq.com,182.254.86.159,腾讯,0,2.466K,2.466K,0G,2.466e-06G,2.466e-06G
,123.207.176.228,123.207.176.228,腾讯,0,2.466K,2.466K,0G,2.466e-06G,2.466e-06G
,10.2.217.131,182.254.90.122,腾讯,0,2.464K,2.464K,0G,2.464e-06G,2.464e-06G
,106.55.80.105:22010,106.55.80.105,北京市北龙中网,0,2.455K,2.455K,0G,2.4550000000000002e-06G,2.4550000000000002e-06G
,www.jjhgame.com,121.51.142.21,腾讯,0,2.448K,2.448K,0G,2.448e-06G,2.448e-06G
,bi-agent.rayjoy.com,139.199.63.87,腾讯,0,2.447K,2.447K,0G,2.447e-06G,2.447e-06G
,mt.gtimg.com,182.254.48.12,腾讯,0,2.445K,2.445K,0G,2.445e-06G,2.445e-06G
,juice.cheese-bear.com,175.24.143.31,河北省任丘市华北石油通信公司,0,2.439K,2.439K,0G,2.4390000000000003e-06G,2.4390000000000003e-06G
,109.244.23.169,109.244.23.169,其他国家,0,2.436K,2.436K,0G,2.4359999999999996e-06G,2.4359999999999996e-06G
,pingdingshan.ganji.com,154.8.241.69,其他国家,0,2.428K,2.428K,0G,2.428e-06G,2.428e-06G
,appz.ddt.xnwan.com,203.195.183.117,其他国家,0,2.425K,2.425K,0G,2.4249999999999997e-06G,2.4249999999999997e-06G
,fy.tingclass.net,118.89.147.82,腾讯,0,2.421K,2.421K,0G,2.4209999999999998e-06G,2.4209999999999998e-06G
,121.51.68.92,121.51.68.92,腾讯,0,2.418K,2.418K,0G,2.418e-06G,2.418e-06G
,106.55.159.180,106.55.159.180,北京市北龙中网,0,2.413K,2.413K,0G,2.4129999999999996e-06G,2.4129999999999996e-06G
,img3.sj.qq.com,182.254.48.38,腾讯,0,2.411K,2.411K,0G,2.411e-06G,2.411e-06G
,tenc2.rabbitpre.com,182.254.53.92,腾讯,0,2.41K,2.41K,0G,2.4100000000000002e-06G,2.4100000000000002e-06G
,182.254.57.125:8080,182.254.57.125,腾讯,0,2.41K,2.41K,0G,2.4100000000000002e-06G,2.4100000000000002e-06G
,qcn.ddd2.zhuoyuechenxing.com,119.29.58.131,腾讯,0,2.409K,2.409K,0G,2.4089999999999997e-06G,2.4089999999999997e-06G
,hdweb.xcstuido.com:10001,123.207.105.78,腾讯,0,2.401K,2.401K,0G,2.401e-06G,2.401e-06G
,154.8.190.249,154.8.190.249,其他国家,0,2.401K,2.401K,0G,2.401e-06G,2.401e-06G
,upd14.sogoucdn.com,182.254.59.192,腾讯,0,2.398K,2.398K,0G,2.398e-06G,2.398e-06G
,s1p.cache.qcloudcdn.com,182.254.60.13,腾讯,0,2.389K,2.389K,0G,2.3889999999999995e-06G,2.3889999999999995e-06G
,www.mianfeiwendang.com,140.143.51.82,河南省郑州市景安计算机网络,0,2.383K,2.383K,0G,2.3830000000000003e-06G,2.3830000000000003e-06G
,103.57.15.171,192.144.199.246,其他国家,480,1.903K,2.383K,4.8e-07G,1.903e-06G,2.3830000000000003e-06G
,121.51.68.246,121.51.68.246,腾讯,0,2.382K,2.382K,0G,2.382e-06G,2.382e-06G
,121.51.141.80,121.51.141.80,腾讯,0,2.369K,2.369K,0G,2.369e-06G,2.369e-06G
,154.8.204.176:8001,154.8.204.176,其他国家,0,2.364K,2.364K,0G,2.3639999999999997e-06G,2.3639999999999997e-06G
,dhhw-rescdn.1gamer.cn,212.129.153.46,其他国家,0,2.363K,2.363K,0G,2.363e-06G,2.363e-06G
,1306.sylxff.com,182.254.59.207,腾讯,0,2.362K,2.362K,0G,2.362e-06G,2.362e-06G
,211.159.132.115,211.159.132.115,腾讯,0,2.358K,2.358K,0G,2.358e-06G,2.358e-06G
,dev.185sy.com,121.51.224.63,腾讯,0,2.357K,2.357K,0G,2.357e-06G,2.357e-06G
,www.lingzhou.com.cn,121.40.53.176,浙江省杭州市阿里云,1.77K,582,2.352K,1.77e-06G,5.819999999999999e-07G,2.352e-06G
,aqq-new.wok.qq.com:59998,109.244.209.243,其他国家,0,2.351K,2.351K,0G,2.3509999999999996e-06G,2.3509999999999996e-06G
,140.143.89.171,140.143.89.171,河南省郑州市景安计算机网络,0,2.35K,2.35K,0G,2.35e-06G,2.35e-06G
,ptlogin2.connect.qq.com,182.254.50.126,腾讯,0,2.348K,2.348K,0G,2.348e-06G,2.348e-06G
,www.bxl168.com,182.254.59.207,腾讯,0,2.345K,2.345K,0G,2.3450000000000004e-06G,2.3450000000000004e-06G
,103.57.14.209,119.45.143.193,其他国家,898,1.43K,2.328K,8.98e-07G,1.4299999999999999e-06G,2.3279999999999996e-06G
,ads.games.laohu.com,182.254.53.68,腾讯,0,2.323K,2.323K,0G,2.323e-06G,2.323e-06G
,2020nian.kuaizhan.com,182.254.52.146,腾讯,0,2.32K,2.32K,0G,2.32e-06G,2.32e-06G
,bb.ouovow.com:8881,111.230.75.94,湖北省,0,2.314K,2.314K,0G,2.314e-06G,2.314e-06G
,incall.changan.com.cn,118.25.164.126,香港,0,2.312K,2.312K,0G,2.3119999999999996e-06G,2.3119999999999996e-06G
,srv.mgr-api.hnhuaduo.cn,193.112.73.214,其他国家,0,2.306K,2.306K,0G,2.306e-06G,2.306e-06G
,tgh.coral.qq.com,182.254.50.52,腾讯,0,2.303K,2.303K,0G,2.303e-06G,2.303e-06G
,www.1y2.cn,118.24.127.67,中国,0,2.302K,2.302K,0G,2.302e-06G,2.302e-06G
,apd-43da3d52758d741f5ba9cc1fe82d105d.v.smtcdns.com,182.254.53.155,腾讯,0,2.296K,2.296K,0G,2.2959999999999997e-06G,2.2959999999999997e-06G
,103.57.13.38,182.254.116.116,腾讯,0,2.294K,2.294K,0G,2.294e-06G,2.294e-06G
,120.53.212.51,120.53.212.51,上海市普陀区长城宽带,0,2.292K,2.292K,0G,2.292e-06G,2.292e-06G
,txcm.a.etoote.com,182.254.90.103,腾讯,1.607K,683,2.29K,1.6069999999999998e-06G,6.83e-07G,2.29e-06G
,api-ip.coocaa.com,111.230.163.64,湖北省,0,2.29K,2.29K,0G,2.29e-06G,2.29e-06G
,10.2.217.31,182.254.52.248,腾讯,0,2.284K,2.284K,0G,2.284e-06G,2.284e-06G
,140.143.68.55,140.143.68.55,河南省郑州市景安计算机网络,0,2.28K,2.28K,0G,2.2799999999999998e-06G,2.2799999999999998e-06G
,static.sh9130.com,182.254.52.233,腾讯,0,2.278K,2.278K,0G,2.278e-06G,2.278e-06G
,qvus.hs.phnhdpf.cn,150.158.216.172,其他国家,0,2.266K,2.266K,0G,2.2660000000000004e-06G,2.2660000000000004e-06G
,sf.xintiao100.com,129.211.153.209,美国,0,2.264K,2.264K,0G,2.264e-06G,2.264e-06G
,wap.minglangkj.com,212.129.130.230,其他国家,0,2.262K,2.262K,0G,2.262e-06G,2.262e-06G
,download.3gpk.net,182.254.59.192,腾讯,0,2.248K,2.248K,0G,2.2480000000000003e-06G,2.2480000000000003e-06G
,api.rrymbf.cn,42.194.207.49,北京市北龙中网,0,2.246K,2.246K,0G,2.246e-06G,2.246e-06G
,103.57.15.107,106.53.252.12,北京市北龙中网,887,1.356K,2.243K,8.869999999999999e-07G,1.356e-06G,2.243e-06G
,ubook.3g.qq.com,211.159.244.174,腾讯,0,2.24K,2.24K,0G,2.24e-06G,2.24e-06G
,dw.xcar.com.cn,140.143.50.53,河南省郑州市景安计算机网络,0,2.24K,2.24K,0G,2.24e-06G,2.24e-06G
,weather.ios.ijinshan.com,140.143.178.113,河南省郑州市景安计算机网络,0,2.232K,2.232K,0G,2.232e-06G,2.232e-06G
,ios.xinkuai.com,118.89.206.196,腾讯,0,2.226K,2.226K,0G,2.226e-06G,2.226e-06G
,www.appmaker.cc,123.207.23.93,腾讯,0,2.226K,2.226K,0G,2.226e-06G,2.226e-06G
,fullstar.zhhainiao.com,62.234.198.223,其他国家,1.434K,790,2.224K,1.434e-06G,7.900000000000001e-07G,2.2240000000000002e-06G
,wxmycar.map.qq.com,121.51.79.244,腾讯,0,2.218K,2.218K,0G,2.2179999999999998e-06G,2.2179999999999998e-06G
,img1.pcfg.cache.wps.cn,182.254.53.181,腾讯,0,2.215K,2.215K,0G,2.215e-06G,2.215e-06G
,service-account.server.nubia.cn,129.211.154.148,美国,0,2.2K,2.2K,0G,2.2e-06G,2.2e-06G
,ta.yunjig,211.159.244.189,腾讯,0,2.195K,2.195K,0G,2.1949999999999997e-06G,2.1949999999999997e-06G
,wx.zahlwyy.cn:443,118.89.13.53,腾讯,659,1.536K,2.195K,6.590000000000001e-07G,1.536e-06G,2.1949999999999997e-06G
,wx109518.weixiaoxin.com,111.230.1.41,湖北省,0,2.188K,2.188K,0G,2.1880000000000005e-06G,2.1880000000000005e-06G
,iis3g.deliver.ifeng.com,49.233.102.63,北京市教育信息网,0,2.186K,2.186K,0G,2.186e-06G,2.186e-06G
,123.207.249.53:9700,123.207.249.53,腾讯,0,2.182K,2.182K,0G,2.182e-06G,2.182e-06G
,wh.ganji.com,154.8.241.69,其他国家,0,2.182K,2.182K,0G,2.182e-06G,2.182e-06G
,212.129.234.173:8088,212.129.234.173,其他国家,0,2.182K,2.182K,0G,2.182e-06G,2.182e-06G
,yuu-login-prod.mobage.cn:8119,49.234.245.7,北京市教育信息网,0,2.18K,2.18K,0G,2.18e-06G,2.18e-06G
,h5.qianbao.qq.com,121.51.8.42,腾讯,551,1.626K,2.177K,5.510000000000001e-07G,1.6259999999999998e-06G,2.177e-06G
,129.211.157.188,129.211.157.188,美国,0,2.175K,2.175K,0G,2.175e-06G,2.175e-06G
,www.dj6.cn,182.254.52.213,腾讯,0,2.166K,2.166K,0G,2.166e-06G,2.166e-06G
,m.tt.cn,182.254.49.96,腾讯,0,2.164K,2.164K,0G,2.164e-06G,2.164e-06G
,android.anjuke.com,123.206.235.145,腾讯,0,2.159K,2.159K,0G,2.159e-06G,2.159e-06G
,b0.market.xiaomi.com,121.51.22.62,腾讯,0,2.156K,2.156K,0G,2.1559999999999998e-06G,2.1559999999999998e-06G
,jl.ifeng.com,49.233.102.63,北京市教育信息网,0,2.156K,2.156K,0G,2.1559999999999998e-06G,2.1559999999999998e-06G
,apd-258ef4a1a3a34d992f23edc52707073b.v.smtcdns.com,182.254.52.245,腾讯,0,2.151K,2.151K,0G,2.151e-06G,2.151e-06G
,appicsh.qq.com,182.254.86.159,腾讯,542,1.604K,2.146K,5.420000000000001e-07G,1.6040000000000002e-06G,2.146e-06G
,a10.app.qq.com,182.254.86.159,腾讯,0,2.136K,2.136K,0G,2.1360000000000004e-06G,2.1360000000000004e-06G
,img.zhuzher.com,119.29.200.189,腾讯,0,2.132K,2.132K,0G,2.132e-06G,2.132e-06G
,cmta.yang,212.129.151.187,其他国家,0,2.132K,2.132K,0G,2.132e-06G,2.132e-06G
,photo.qq.com,182.254.57.112,腾讯,0,2.13K,2.13K,0G,2.13e-06G,2.13e-06G
,r.7daysinn.cn,134.175.212.131,其他国家,0,2.125K,2.125K,0G,2.125e-06G,2.125e-06G
,juice.pdabekb.cn,118.25.118.57,香港,0,2.122K,2.122K,0G,2.1219999999999998e-06G,2.1219999999999998e-06G
,static.xiangha.com,121.51.224.63,腾讯,0,2.122K,2.122K,0G,2.1219999999999998e-06G,2.1219999999999998e-06G
,api.auto.ifeng.com,192.144.196.161,其他国家,0,2.12K,2.12K,0G,2.12e-06G,2.12e-06G
,adreq.p-dragon.com,115.159.130.119,腾讯,0,2.118K,2.118K,0G,2.118e-06G,2.118e-06G
,pkai.khs.gzssjw.cn,111.231.126.187,湖北省,0,2.116K,2.116K,0G,2.116e-06G,2.116e-06G
,103.57.15.177,111.229.221.232,湖北省,480,1.63K,2.11K,4.8e-07G,1.6299999999999999e-06G,2.1099999999999997e-06G
,lmsh-in.leishengame.com:8888,203.195.183.64,其他国家,0,2.11K,2.11K,0G,2.1099999999999997e-06G,2.1099999999999997e-06G
,e.angshuwl.com:6284,122.152.248.253,腾讯,0,2.108K,2.108K,0G,2.108e-06G,2.108e-06G
,121.51.128.182,121.51.128.182,腾讯,0,2.106K,2.106K,0G,2.106e-06G,2.106e-06G
,dir.minigame.qq.com:80,121.51.142.70,腾讯,0,2.106K,2.106K,0G,2.106e-06G,2.106e-06G
,xcxapi-hyh.715083.com,182.254.59.156,腾讯,0,2.106K,2.106K,0G,2.106e-06G,2.106e-06G
,182.254.50.140,182.254.50.140,腾讯,0,2.105K,2.105K,0G,2.105e-06G,2.105e-06G
,pvstat.html5.qq.com,182.254.86.159,腾讯,0,2.104K,2.104K,0G,2.104e-06G,2.104e-06G
,passport.eqxiu.com,175.24.253.141,河北省任丘市华北石油通信公司,0,2.103K,2.103K,0G,2.1030000000000004e-06G,2.1030000000000004e-06G
,cont.gcsg.yileweb.com,211.159.156.212,腾讯,0,2.1K,2.1K,0G,2.1000000000000002e-06G,2.1000000000000002e-06G
,qqh5.huya.livelink.qq.com,121.51.64.204,腾讯,0,2.098K,2.098K,0G,2.098e-06G,2.098e-06G
,qnthsh.com,182.254.52.146,腾讯,0,2.098K,2.098K,0G,2.098e-06G,2.098e-06G
,hp.nai93.com,182.254.52.213,腾讯,0,2.092K,2.092K,0G,2.092e-06G,2.092e-06G
,pull.oha74.com,121.51.120.155,腾讯,0,2.088K,2.088K,0G,2.088e-06G,2.088e-06G
,121.51.163.33,121.51.163.33,腾讯,0,2.084K,2.084K,0G,2.084e-06G,2.084e-06G
,register.xiuxian.shiyuegame.com,115.159.114.211,腾讯,0,2.084K,2.084K,0G,2.084e-06G,2.084e-06G
,t04img-b.yangkeduo.com,182.254.48.159,腾讯,0,2.083K,2.083K,0G,2.0830000000000002e-06G,2.0830000000000002e-06G
,wx107073.weixiaoxin.com,111.230.1.41,湖北省,0,2.081K,2.081K,0G,2.081e-06G,2.081e-06G
,45.116.208.6,121.51.162.121,腾讯,700,1.375K,2.075K,7e-07G,1.375e-06G,2.075e-06G
,smartisan.beha.ksmobile.com,140.143.117.239,河南省郑州市景安计算机网络,0,2.074K,2.074K,0G,2.074e-06G,2.074e-06G
,login.hiigame.com,182.254.52.222,腾讯,0,2.064K,2.064K,0G,2.064e-06G,2.064e-06G
,jlvideo.715083.com,123.206.34.105,腾讯,0,2.06K,2.06K,0G,2.06e-06G,2.06e-06G
,decision-admin.tianqi.cn,192.144.194.73,其他国家,0,2.049K,2.049K,0G,2.049e-06G,2.049e-06G
,newscms.house365.com,212.129.162.135,其他国家,0,2.048K,2.048K,0G,2.0479999999999997e-06G,2.0479999999999997e-06G
,backend.wanmeizhensuo.com,123.207.134.219,腾讯,0,2.044K,2.044K,0G,2.0440000000000003e-06G,2.0440000000000003e-06G
,121.51.36.15,121.51.36.15,腾讯,0,2.04K,2.04K,0G,2.04e-06G,2.04e-06G
,ovs1.ainirobot.com,118.89.75.201,腾讯,0,2.04K,2.04K,0G,2.04e-06G,2.04e-06G
,45.116.208.20,49.235.92.147,北京市教育信息网,490,1.542K,2.032K,4.9e-07G,1.542e-06G,2.0319999999999998e-06G
,news.baizhan.net,121.51.224.25,腾讯,0,2.031K,2.031K,0G,2.031e-06G,2.031e-06G
,dfg96.ddraeq.cn,106.53.211.125,北京市北龙中网,0,2.03K,2.03K,0G,2.0299999999999996e-06G,2.0299999999999996e-06G
,desktop.niui.com.cn:8090,106.52.4.28,北京市北龙中网,0,2.021K,2.021K,0G,2.021e-06G,2.021e-06G
,121.51.32.80,121.51.32.80,腾讯,0,2.017K,2.017K,0G,2.0169999999999995e-06G,2.0169999999999995e-06G
,qgvfn.sh.cvymhbg.cn,49.234.245.43,北京市教育信息网,0,2.013K,2.013K,0G,2.013e-06G,2.013e-06G
,a198.mnbase.com:8188,106.53.219.67,北京市北龙中网,0,2.003K,2.003K,0G,2.003e-06G,2.003e-06G
,quyuehui-1251661065.image.myqcloud.com,182.254.59.174,腾讯,0,2K,2K,0G,2e-06G,2e-06G
,vdouya.com,123.207.246.129,腾讯,0,1.998K,1.998K,0G,1.998e-06G,1.998e-06G
,211.159.235.113,211.159.235.113,腾讯,0,1.997K,1.997K,0G,1.997e-06G,1.997e-06G
,service-j2r722o6-1251033566.gz.apigw.tencentcs.com,193.112.148.212,其他国家,0,1.992K,1.992K,0G,1.9919999999999997e-06G,1.9919999999999997e-06G
,huya-pc-219.tx-corp-flv.huya.com,121.51.61.120,腾讯,0,1.992K,1.992K,0G,1.9919999999999997e-06G,1.9919999999999997e-06G
,rtcxq.mp.hbszfw.cn,182.254.59.207,腾讯,0,1.99K,1.99K,0G,1.99e-06G,1.99e-06G
,bbkwc.mp.szsgrw.cn,182.254.59.207,腾讯,0,1.99K,1.99K,0G,1.99e-06G,1.99e-06G
,click.9you.com,162.14.135.131,美国,0,1.99K,1.99K,0G,1.99e-06G,1.99e-06G
,waavf.mp.szsgrw.cn,182.254.59.207,腾讯,0,1.99K,1.99K,0G,1.99e-06G,1.99e-06G
,c.gsc.qq.com,182.254.86.159,腾讯,0,1.988K,1.988K,0G,1.9880000000000003e-06G,1.9880000000000003e-06G
,182.254.57.115,182.254.57.115,腾讯,0,1.987K,1.987K,0G,1.987e-06G,1.987e-06G
,121.51.141.19:8080,121.51.141.19,腾讯,0,1.985K,1.985K,0G,1.985e-06G,1.985e-06G
,v3.bootcss.com,152.136.104.42,美国,0,1.983K,1.983K,0G,1.983e-06G,1.983e-06G
,dkup.jgcyp.com,182.254.59.192,腾讯,0,1.98K,1.98K,0G,1.98e-06G,1.98e-06G
,statistic.public.sdk.haibaoyouxi.com,193.112.225.152,其他国家,0,1.974K,1.974K,0G,1.974e-06G,1.974e-06G
,mmp3.wx939.com,182.254.53.176,腾讯,64,1.906K,1.97K,6.399999999999999e-08G,1.9059999999999998e-06G,1.9699999999999998e-06G
,120.53.212.22,120.53.212.22,上海市普陀区长城宽带,0,1.969K,1.969K,0G,1.969e-06G,1.969e-06G
,shufadashi.com,111.231.48.45,湖北省,0,1.965K,1.965K,0G,1.9650000000000002e-06G,1.9650000000000002e-06G
,10.2.217.139,182.254.52.181,腾讯,0,1.964K,1.964K,0G,1.964e-06G,1.964e-06G
,cdn2.shouji.sogou.com,182.254.53.176,腾讯,0,1.964K,1.964K,0G,1.964e-06G,1.964e-06G
,bbs.xbnj.net,129.28.240.139,美国,0,1.96K,1.96K,0G,1.96e-06G,1.96e-06G
,file.azg168.cn,182.254.52.146,腾讯,0,1.959K,1.959K,0G,1.9590000000000002e-06G,1.9590000000000002e-06G
,www.sucaijishi.com,182.254.212.148,腾讯,0,1.959K,1.959K,0G,1.9590000000000002e-06G,1.9590000000000002e-06G
,115.159.142.36:21200,115.159.142.36,腾讯,0,1.957K,1.957K,0G,1.957e-06G,1.957e-06G
,9cbcbccd7cand.gioaup.com:58080,152.136.156.55,美国,0,1.954K,1.954K,0G,1.954e-06G,1.954e-06G
,103.57.14.242,122.51.233.226,海南省铁通,448,1.5K,1.948K,4.48e-07G,1.5e-06G,1.948e-06G
,cos-1302462251.cos.ap-chongqing.myqcloud.com,140.143.102.110,河南省郑州市景安计算机网络,0,1.946K,1.946K,0G,1.946e-06G,1.946e-06G
,abcni.mp.hbszfw.cn,182.254.59.207,腾讯,0,1.944K,1.944K,0G,1.944e-06G,1.944e-06G
,212.129.234.173,212.129.234.173,其他国家,0,1.944K,1.944K,0G,1.944e-06G,1.944e-06G
,cb1.ycydzz.hoolai.com,134.175.212.237,其他国家,736,1.206K,1.942K,7.36e-07G,1.206e-06G,1.9419999999999998e-06G
,www.07073.com,182.254.49.93,腾讯,0,1.94K,1.94K,0G,1.94e-06G,1.94e-06G
,sfvuu.mp.szsgrw.cn,182.254.59.207,腾讯,0,1.939K,1.939K,0G,1.939e-06G,1.939e-06G
,zycfcdn.gdwlcloud.com,121.51.42.227,腾讯,0,1.934K,1.934K,0G,1.934e-06G,1.934e-06G
,liveplay3.zk01.cc,121.51.42.235,腾讯,0,1.934K,1.934K,0G,1.934e-06G,1.934e-06G
,www.haofaxing.com,121.51.224.59,腾讯,0,1.932K,1.932K,0G,1.932e-06G,1.932e-06G
,d01.res.meilishuo.net,182.254.53.92,腾讯,0,1.931K,1.931K,0G,1.931e-06G,1.931e-06G
,www.easymusic360.com,154.8.139.160,其他国家,0,1.93K,1.93K,0G,1.9299999999999997e-06G,1.9299999999999997e-06G
,121.51.12.114:8080,121.51.12.114,腾讯,0,1.927K,1.927K,0G,1.927e-06G,1.927e-06G
,osp-1301850034.cos.ap-beijing.myqcloud.com,154.8.145.111,其他国家,0,1.924K,1.924K,0G,1.924e-06G,1.924e-06G
,l3s2.hy.qcloudcdn.com,121.51.179.143,腾讯,0,1.923K,1.923K,0G,1.923e-06G,1.923e-06G
,119.29.45.110:4003,119.29.45.110,腾讯,0,1.918K,1.918K,0G,1.918e-06G,1.918e-06G
,saleapi.blackshark.com:50093,134.175.254.108,其他国家,0,1.915K,1.915K,0G,1.915e-06G,1.915e-06G
,g.jishusaice.cn,182.254.59.174,腾讯,0,1.91K,1.91K,0G,1.91e-06G,1.91e-06G
,58.87.88.128,58.87.88.128,腾讯,0,1.91K,1.91K,0G,1.91e-06G,1.91e-06G
,sdk.xiaoeknow.com,111.231.128.116,湖北省,0,1.908K,1.908K,0G,1.9079999999999998e-06G,1.9079999999999998e-06G
,api.591master.com:8081,123.206.31.32,腾讯,0,1.908K,1.908K,0G,1.9079999999999998e-06G,1.9079999999999998e-06G
,riaaaaj.cn,123.206.232.189,腾讯,0,1.902K,1.902K,0G,1.9019999999999997e-06G,1.9019999999999997e-06G
,slogin-3501377-zzxx.4399sy.com,109.244.51.39,其他国家,1.118K,778,1.896K,1.1180000000000001e-06G,7.78e-07G,1.896e-06G
,lan1.lygftf.com,129.204.173.164,美国,0,1.893K,1.893K,0G,1.893e-06G,1.893e-06G
,othstr.play.t002.ottcn.com,182.254.104.40,腾讯,0,1.893K,1.893K,0G,1.893e-06G,1.893e-06G
,lesson.chaojidaogou.com:88,106.54.156.103,北京市北龙中网,0,1.891K,1.891K,0G,1.8910000000000002e-06G,1.8910000000000002e-06G
,tongji.ttromzhijia.33app.net,211.159.156.87,腾讯,0,1.89K,1.89K,0G,1.89e-06G,1.89e-06G
,statics.mfpad.com,81.68.91.199,其他国家,0,1.885K,1.885K,0G,1.885e-06G,1.885e-06G
,www.qinxuezhi.com,182.254.52.213,腾讯,0,1.883K,1.883K,0G,1.883e-06G,1.883e-06G
,worldwide.sogou.com,,,,,,空,空,空
,211.159.235.117,腾讯,0,1.88K,1.88K,,1.88e-06G,1.88e-06G,空
,rsipd.mp.bjsqzw.cn,182.254.52.146,腾讯,0,1.88K,1.88K,0G,1.88e-06G,1.88e-06G
,blog.guaqb.cn,111.231.234.236,湖北省,0,1.872K,1.872K,0G,1.8720000000000002e-06G,1.8720000000000002e-06G
,bydr.tgyoo.com,182.254.49.96,腾讯,0,1.866K,1.866K,0G,1.866e-06G,1.866e-06G
,www.mini1.cn,139.199.93.170,腾讯,0,1.866K,1.866K,0G,1.866e-06G,1.866e-06G
,cos-1302453892.cos.ap-nanjing.myqcloud.com,129.211.178.63,美国,0,1.866K,1.866K,0G,1.866e-06G,1.866e-06G
,audiocdn.yangkeduo.com,182.254.53.143,腾讯,0,1.862K,1.862K,0G,1.8620000000000001e-06G,1.8620000000000001e-06G
,182.254.51.37,182.254.51.37,腾讯,0,1.855K,1.855K,0G,1.8549999999999998e-06G,1.8549999999999998e-06G
,175.24.155.53,175.24.155.53,河北省任丘市华北石油通信公司,557,1.297K,1.854K,5.570000000000001e-07G,1.297e-06G,1.8540000000000002e-06G
,www.flstudio.cn,118.89.20.16,腾讯,0,1.854K,1.854K,0G,1.8540000000000002e-06G,1.8540000000000002e-06G
,nmzrxuoiehjquv8.amghlvv.cn,123.206.249.233,腾讯,0,1.849K,1.849K,0G,1.849e-06G,1.849e-06G
